file,line,kind,score,text
src/paper_trading_v2.py,382,ECONOMIC_EXPRESSION,5,"con.execute( f"""""" CREATE TABLE IF NOT EXISTS {PAPER_TABLE} ( id INTEGER PRIMARY KEY AUTOINCREMENT, rule TEXT NOT NULL, symbol TEXT NOT NULL, entry_time TEXT NOT NULL, exit_time TEXT, entry_price REAL NOT NULL, exit_price REAL, score REAL NOT NULL, confidence REAL NOT NULL DEFAULT 0, quantity REAL NOT NULL, nominal_value REAL NOT NULL, entry_fee REAL NOT NULL DEFAULT 0, exit_fee REAL NOT NULL DEFAULT 0, gross_pnl REAL, net_pnl REAL, return_pct REAL, capital_before REAL, capital_after REAL, status"
src/paper_trading_v2.py,428,ECONOMIC_EXPRESSION,5,"con.execute( f"""""" INSERT OR REPLACE INTO {PAPER_TABLE} ( id, rule, symbol, entry_time, exit_time, entry_price, exit_price, score, confidence, quantity, nominal_value, entry_fee, exit_fee, gross_pnl, net_pnl, return_pct, capital_before, capital_after, status, created_at ) VALUES ( ?, ?, ?, ?, NULL, ?, NULL, ?, ?, ?, ?, ?, 0, NULL, NULL, NULL, NULL, NULL, 'OPEN', ? ) """""", ( position.trade_id, RULE_NAME, position.symbol, format_dt(position.entry_time), position.entry_price, position.score, position"
src/paper_trading_v2.py,495,ECONOMIC_EXPRESSION,5,"con.execute( f"""""" UPDATE {PAPER_TABLE} SET exit_time = ?, exit_price = ?, exit_fee = ?, gross_pnl = ?, net_pnl = ?, return_pct = ?, capital_before = ?, capital_after = ?, status = 'CLOSED' WHERE id = ? AND rule = ? """""", ( format_dt(trade.exit_time), trade.exit_price, trade.exit_fee, trade.gross_pnl, trade.net_pnl, trade.return_pct, trade.capital_before, trade.capital_after, trade.trade_id, RULE_NAME, ), )"
src/paper_trading_v2.py,955,ECONOMIC_EXPRESSION,5,gross_pnl - position.entry_fee - exit_fee
src/paper_trading_v2.py,955,ECONOMIC_EXPRESSION,5,gross_pnl - position.entry_fee
src/paper_trading_v2.py,980,ECONOMIC_EXPRESSION,5,"ClosedTrade( trade_id=position.trade_id, symbol=position.symbol, entry_time=position.entry_time, exit_time=exit_time, entry_price=position.entry_price, exit_price=exit_price, score=position.score, confidence=position.confidence, quantity=position.quantity, nominal_value=position.nominal_value, entry_fee=position.entry_fee, exit_fee=exit_fee, gross_pnl=gross_pnl, net_pnl=net_pnl, return_pct=return_pct, capital_before=capital_before, capital_after=capital_after, )"
src/paper_trading_v2.py,1635,ECONOMIC_EXPRESSION,5,"writer.writerow( { ""trade_id"": trade.trade_id, ""rule"": RULE_NAME, ""symbol"": trade.symbol, ""entry_time"": format_dt( trade.entry_time ), ""exit_time"": format_dt( trade.exit_time ), ""entry_price"": trade.entry_price, ""exit_price"": trade.exit_price, ""score"": trade.score, ""confidence"": trade.confidence, ""quantity"": trade.quantity, ""nominal_value"": trade.nominal_value, ""entry_fee"": trade.entry_fee, ""exit_fee"": trade.exit_fee, ""gross_pnl"": trade.gross_pnl, ""net_pnl"": trade.net_pnl, ""return_pct"": trade.re"
src/paper_trading_v4.py,284,ECONOMIC_EXPRESSION,5,"trades.append(Trade( scenario.name, symbol, pos.entry_time, now, pos.entry_price, o.price, pos.score, pos.confidence, pos.notional, pos.entry_fee, exit_fee, gross_pct, net_pct, pnl, reason ))"
src/paper_trading_v4.py,284,ECONOMIC_EXPRESSION,5,"Trade( scenario.name, symbol, pos.entry_time, now, pos.entry_price, o.price, pos.score, pos.confidence, pos.notional, pos.entry_fee, exit_fee, gross_pct, net_pct, pnl, reason )"
src/paper_trading_v4.py,428,ECONOMIC_EXPRESSION,5,"w.writerow({ ""scenario"": t.scenario, ""symbol"": t.symbol, ""entry_time"": t.entry_time.isoformat(), ""exit_time"": t.exit_time.isoformat(), ""entry_price"": f""{t.entry_price:.12g}"", ""exit_price"": f""{t.exit_price:.12g}"", ""score"": f""{t.score:.8f}"", ""confidence"": """" if t.confidence is None else f""{t.confidence:.8f}"", ""notional"": f""{t.notional:.8f}"", ""entry_fee"": f""{t.entry_fee:.8f}"", ""exit_fee"": f""{t.exit_fee:.8f}"", ""gross_return_pct"": f""{t.gross_return_pct:.8f}"", ""net_return_pct"": f""{t.net_return_pct:.8f"
