scenario,trades,wins,losses,win_rate,return_pct,avg_pct,median_pct,profit_factor,drawdown_pct,drawdown_money,pnl,best_trade,worst_trade,max_win_streak,max_loss_streak,sharpe,sortino,attempted_entries,rejected_limit,rejected_duplicate,rejected_cooldown,rejected_positions
V7_BASE,352,156,196,44.31818181818182,29.284752369353257,0.7647790172683151,-0.11398532094450428,1.4404248341934074,-10.476636783076309,-107.26656921579979,292.84752369353254,31.951250000000016,-22.30833083158211,10,9,0.11556447017894596,0.22859023440845194,8167,79,2225,986,4525
SCORE_72,375,165,210,44.0,63.473428794583384,1.430812850352218,-0.1159814429691053,1.9145861881612682,-10.526354545667092,-108.00133011619937,634.7342879458339,184.16257668711654,-22.30833083158211,10,16,0.12296903812934702,0.4286381635545777,11148,96,2932,1287,6458
SCORE_75,352,156,196,44.31818181818182,29.284752369353257,0.7647790172683151,-0.11398532094450428,1.4404248341934074,-10.476636783076309,-107.26656921579979,292.84752369353254,31.951250000000016,-22.30833083158211,10,9,0.11556447017894596,0.22859023440845194,8167,79,2225,986,4525
SCORE_78,304,139,165,45.723684210526315,54.91765711944077,1.5873007882451073,-0.10997702986118058,2.04155097006273,-8.532454627980007,-85.4957013064419,549.1765711944076,183.41069952042332,-22.308330831582104,9,11,0.1282933618943875,0.45319590362222106,5800,70,1597,789,3040
SCORE_80,296,136,160,45.94594594594595,28.30162980730289,0.8765906286777768,-0.10000000000000416,1.5517657698014464,-7.355865140575192,-81.49540863088896,283.0162980730289,23.89099437148218,-13.640788921527486,12,10,0.1431622137821037,0.2815565957374772,4318,59,1331,584,2048
SCORE_82,295,135,160,45.76271186440678,26.463617643268368,0.8359680111176937,-0.10997702986117561,1.4612794157375615,-5.894764433410578,-72.74085257485717,264.63617643268367,23.8909943714822,-21.128899082568797,11,10,0.12888854610597344,0.24378457312861368,3255,38,1025,481,1416
SCORE_85,290,140,150,48.275862068965516,37.491069539037454,1.1412646284173513,-0.09999999999999482,1.6722839352665906,-8.294198680072824,-84.0139630553557,374.91069539037454,26.320569902048053,-22.308330831582097,18,14,0.16594462700746096,0.3192212309342915,1809,27,653,244,595
SL4_TP8,375,170,205,45.33333333333333,46.27331732886834,1.0537134508604002,-0.10998201438849593,1.7021808592899772,-8.027581139805093,-81.57902549792777,462.73317328868336,33.9815590947192,-21.128899082568804,11,9,0.16666709060541698,0.35893518469160585,8167,137,2232,1148,4275
SL4_TP10,361,165,196,45.70637119113574,56.082879570563804,1.347293260488264,-0.10997902307463843,1.8752777765582072,-11.115963695790398,-113.91888822693068,560.8287957056381,177.22169200905861,-15.593749999999995,7,10,0.11971095421937755,0.44674607842674796,8167,99,2222,1078,4407
SL4_TP12,358,162,196,45.2513966480447,75.48516623538073,1.672287460869231,-0.10748506483624358,2.1374557191631287,-10.539855455770011,-108.39770741468567,754.8516623538073,179.93866383534797,-21.128899082568815,14,9,0.14285877727752785,0.5233241407042859,8167,82,2299,1033,4395
